A,B,C,D
1,20,-14.83,429.04
2,3,-13.77,89.05
3,5,-12.99,129.34
4,34,-11.63,709.07
5,13,-10.77,289.1
6,30,-9.91,629.36
7,15,-8.98,329.37
8,38,-7.94,789.15
9,38,-6.93,789.29
10,38,-6.01,789.26
11,4,-4.88,109.05
12,10,-3.93,229.23
13,9,-2.88,209.26
14,6,-2.02,149.26
15,15,-0.89,329.03
16,20,0.34,429.06
17,18,1.01,389.1
18,9,2.31,209.11
19,19,3.29,409.12
20,10,4.2,229.13
21,38,5.24,789.19
22,38,6.26,789.29
23,23,7.36,489.35
24,3,8.02,89.36
25,23,9.09,489.09
26,20,10.29,429.37
27,21,11,449.33
28,33,12.01,689.26
29,38,13.2,789.18
30,12,14.31,269.32
31,28,15.29,589.18
32,1,16.27,49.06
33,32,17.02,669.36
34,30,17.98,629
35,28,19.21,589.04
36,31,20.34,649.27
37,23,21.15,489.29
38,18,22,389.25
39,6,22.99,149.07
40,18,24.11,389
41,12,25.31,269.24
42,24,26.33,509.05
43,33,27.25,689.02
44,31,28.07,649.02
45,26,29.35,549.17
46,24,30.19,509.13
47,13,31.02,289.3
48,37,32.2,769.25
49,24,33.18,509.26
50,33,34.37,688.99
51,28,35.01,589.25
52,14,36.26,309.2
53,13,37.11,288.99
54,17,38.34,369.09
55,21,39.12,449.06
56,1,40.36,49.19
57,8,41.1,189.15
58,33,43,688.99
59,31,43.18,649.23
60,12,44.06,269.08
61,3,44.99,89.36
62,38,46.26,789.1
63,26,47,549.16
64,31,48.02,649.33
65,28,49.13,589.15
66,2,50.13,69.08
67,33,51.35,689.16
68,5,52.12,129.09
69,38,53.04,789.21
70,23,54.08,489.29
71,33,55.03,689.23
72,24,56.01,509.03
73,28,57.2,589.06
74,6,58.11,149.1
75,2,59.31,69.25
76,11,60.26,249.32
77,21,61.19,449.29
78,31,62.16,649.36
79,3,63.14,89.34
80,18,64.37,389.36
81,2,65.22,69.01
82,27,66.06,569.04
83,32,67.35,669.26
84,0,68.33,29.32
85,4,69.35,109.17
86,23,70.06,489.05
87,18,71.27,389.26
88,1,72.19,49.04
89,39,73.14,809.12
90,27,74.24,569.11
91,25,75.26,529.28
92,20,76.13,429.28
93,27,76.98,569.17
94,7,78.3,169.13
95,33,79.35,689.1
96,13,80.18,289.11
97,12,81.28,269.32
98,33,82.3,689.05
99,39,83.21,809.13
100,6,84.09,149
